Property type,Price,Suburb,Postcode,Display address,Bedrooms,Bathrooms,Carspaces,Headline,Description,url,Advert type,Advert name,Advert contact
ApartmentUnitFlat,$380,WENTWORTHVILLE,2145,"6/36 Lane Street, Wentworthville",2.0,1.0,1,FULLY RENOVATED TWO BEDROOM UNIT IN PRIME LOCATION,"Situated in a prime location we have this two bedroom unit. Neat kitchen with electric cooking, open plan living and dining combined and balcony. Two decent sized bedrooms both including mirrored built in wardrobes to both, main bathroom ...",http://www.domain.com.au/6-36-lane-street-wentworthville-nsw-2145-14087556,Agency,Richardson & Wrench Parramatta,Lauran Harvey
ApartmentUnitFlat,$380,WENTWORTHVILLE,2145,"4/36 Lane Street, Wentworthville",2.0,1.0,1,FULLY RENOVATED TWO BEDROOM UNIT IN PRIME LOCATION,"Situated in a prime location we have this fully refurbished two bedroom unit. Brand new kitchen with electric cooking, freshly painted and brand new carpet throughout.   Two decent sized bedrooms both including mirrored built in wardrobes...",http://www.domain.com.au/4-36-lane-street-wentworthville-nsw-2145-14087239,Agency,Richardson & Wrench Parramatta,"Richardson & Wrench Office, Lauran Harvey"
ApartmentUnitFlat,$380,WENTWORTHVILLE,2145,"7/36 Lane Street, Wentworthville",2.0,1.0,1,RENOVATED TWO BEDROOM UNIT IN PRIME LOCATION,Situated in a prime location we have this fully refurbished two bedroom unit. Modern kitchen with electric cooking and tiled throughout. Freshly painted and brand new carpet throughout the unit.  Two bedrooms both including mirrored buil...,http://www.domain.com.au/7-36-lane-street-wentworthville-nsw-2145-14030807,Agency,Richardson & Wrench Parramatta,Alex  Abboud
Villa,$400,SOUTH WENTWORTHVILLE,2145,"4/84 Hampden Road, South Wentworthville",2.0,1.0,1,Bright & Spacious,"Set in a small and well maintained complex is this single level villa refurbished throughout. New carpets, blinds and paint provide an as new finish sure to impress.  * Generous bedrooms with  built-ins to main * Open plan lounge and di...",http://www.domain.com.au/4-84-hampden-road-south-wentworthville-nsw-2145-11045722,Agency,Intelligent Property Services,"Jasmine Oppy, Ely Slan"
ApartmentUnitFlat,$400 Renovated 2 bedrooms with lock up garage,WESTMEAD,2145,"11/4-6 Caroline Street, Westmead",2.0,1.0,1,"Quiet yet, Convenient","** Email agent to register the inspection ** ~ Spacious ~ Newly renovated unit in corporate 2 bedrooms, 1 authentic bathroom with separate bath and shower, an exquisite kitchen with quality appliances, balcony, a spacious living/dining a...",http://www.domain.com.au/11-4-6-caroline-street-westmead-nsw-2145-13698751,Agency,My Home Real Estate,Francisco Ribeiro
Duplex,$395,WENTWORTHVILLE,2145,"2/27 Page Street, Wentworthville",2.0,1.0,1,Charming duplex in ultra convenient location,"Situated in a quiet setting, this well duplex home provides a light filled haven and is dedicated to the ultimate in family living and comfort. Situated close to buses, trains and great local schools and is within easy reach of Westmead Ho...",http://www.domain.com.au/2-27-page-street-wentworthville-nsw-2145-14025105,Agency,McGrath Property Management (West),"Tanya Eleftheriou, John Byrnes"
ApartmentUnitFlat,$370,WESTMEAD,2145,"6/30 Queens Road, Westmead",2.0,1.0,1,Well positioned apartment,"Set in a prize position, look no further than this spacious two bedroom second floor unit with brand new floating floor boards and Westmead station, hospital and shops nearby this renovated unit offers innovation and convenience.   - Sp...",http://www.domain.com.au/6-30-queens-road-westmead-nsw-2145-14066993,Agency,McGrath Property Management (West),"Anthony Fleming, Simone Bellette"
House,$400 wk,SOUTH WENTWORTHVILLE,2145,"6A VERLIE STREET, South Wentworthville",2.0,1.0,1,GREAT TWO TO THREE BEDROOM HOME AT A BUDGET PRICE,This has to be one of the best villa (granny flat) offered for rent in this area.  FEATURING: * Two to three bedrooms * As new presentation  * Quality tile floors throughout * Air Conditioned * Family size kitchen * Built-in wardro...,http://www.domain.com.au/6a-verlie-street-south-wentworthville-nsw-2145-14086262,Agency,LJ Hooker Greystanes,"Guy Boardman, Alex Sallit"
House,$400 per week,SOUTH WENTWORTHVILLE,2145,"49 Monterey Street, South Wentworthville",3.0,1.0,1,Comfortable Family Home,"Spacious 3 bedroom home with lounge, dining, polished floors throughout, built-in wardrobes in two rooms, internal laundry, separate toilet from the main bathroom, plenty of off street parking and a big backyard. Located in a quiet area, c...",http://www.domain.com.au/49-monterey-street-south-wentworthville-nsw-2145-11571523,Agency,Chansis Real Estate,Ruzica Moses
ApartmentUnitFlat,$400,WENTWORTHVILLE,2145,"3/180-182 Station Street, Wentworthville",2.0,1.0,1,2 Bedroom unit Wentworthville Location,Nice clean modern unit available. Featuring:  * 2 good size bedrooms * Built-in to main bedroom * Spacious Living area * Large balcony * Neat bathroom * Neat kitchen with gas cooking * Internal Laundry  * Security intercom * L/U ...,http://www.domain.com.au/3-180-182-station-street-wentworthville-nsw-2145-14087137,Agency,Ray Wehbe Real Estate,Ray Wehbe
ApartmentUnitFlat,$400,WESTMEAD,2145,"6/23 Caroline street, Westmead",2.0,1.0,1,Laminate flooring throughout!!!,"Situated in a boutique complex, sits this  two bedroom unit  that offers spacious light filled interiors. The security block is close from westmead public school, Train station , hospital, west field shopping, m4 and great western highway ...",http://www.domain.com.au/6-23-caroline-street-westmead-nsw-2145-9120819,Agency,Great Nationwide Real Estate,
ApartmentUnitFlat,$395,PENDLE HILL,2145,"6/91-95 Stapleton Street, Pendle Hill",2.0,1.0,1,Walk to Train Station & Shops,Large modern apartment located just a hop and a skip to Pendle Hill Shopping Centre and Train Station.   Features Include: + 2 Bedroom with Built-Ins + Fantastic open plan Living & Dining area + Huge Balcony + Large Open Kitchen with...,http://www.domain.com.au/6-91-95-stapleton-street-pendle-hill-nsw-2145-14087051,Agency,Ray Wehbe Real Estate,Ray Wehbe
ApartmentUnitFlat,$380,WESTMEAD,2145,"9/16 Central Avenue, Westmead",2.0,1.0,1,"Undisturbed views!! Walk to Shops, Train Station & Hospital",Neat & tidy Apartment in Westmead. Features include:  - 2 Large bedroom - Bright Spacious Lounge room & dining area - Large closed kitchen - Internal Laundry - Built Ins - Secured car park. - Located on top floor. - Electric Gas ...,http://www.domain.com.au/9-16-central-avenue-westmead-nsw-2145-14087075,Agency,Ray Wehbe Real Estate,Ray Wehbe
House,$350 PW,WESTMEAD,2145,"41 Houison street, Westmead",2.0,1.0,1,Affordable 2 Bedroom Brick Home,Located in a convenient position close to all amenities is this affordable 2 bedroom brick home. Features include - 2 good sized bedrooms  - Sunroom - Separate lounge room - Gas cooking - Fully fenced with off Street parking  To in...,http://www.domain.com.au/41-houison-street-westmead-nsw-2145-13949614,Agency,Laing+Simmons Wentworthville,Rental Enquiries
ApartmentUnitFlat,$350,GREYSTANES,2145,"58A Alpha Road, Greystanes",1.0,1.0,,Near New Granny Flat In Greystanes,Near new Granny Flat located in a peaceful street with own separate access.  - Features a bright and sunny open living area with tiled floors -  R/C air conditioning -  Near new modern kitchen with stainless steel appliance and ceasar s...,http://www.domain.com.au/58a-alpha-road-greystanes-nsw-2145-14086844,Agency,Ray Wehbe Real Estate,Ray Wehbe
House,$240 wk,GREYSTANES,2145,"46a Baden Street, Greystanes",1.0,1.0,,ONE BEDROOM GRANNY FLAT IN GREAT CONDITION,ONE BEDROOM GRANNY FLAT IN GREAT CONDITION  Ideally located just short walk from the busy Greystanes shopping precinct and bus transport to just about anywhere you might need to travel   FEATURES INCLUDE:  *  Immaculate presentation ...,http://www.domain.com.au/46a-baden-street-greystanes-nsw-2145-14085074,Agency,LJ Hooker Greystanes,"Steven Piljek, Tara Jade"
ApartmentUnitFlat,$400,WENTWORTHVILLE,2145,"10/51 Garfield Street, Wentworthville",2.0,1.0,2,Renovated throughout!,Neat and renovated two bedroom unit in a nice block.  Featuring: 	Good sized lounge area 	Eat-in renovated gas kitchen 	Built-in robe to main 	Renovated modern bathroom 	New carpet and paint throughout 	Internal laundry 	Balcony ...,http://www.domain.com.au/10-51-garfield-street-wentworthville-nsw-2145-13946691,Agency,Starr Partners Parramatta,Christopher Vieira
ApartmentUnitFlat,$400 per week,PENDLE HILL,2145,"13/105-113 Stapleton Street, Pendle Hill",2.0,1.0,1,Secure Gated Building...,Short stroll to Pendle Hill Train Station and local shops....  Features: - 2 great size bedrooms both with built-ins - Large living area which leads out to a good size balcony - Modern bathroom - Kitchen with stainless steel applianc...,http://www.domain.com.au/13-105-113-stapleton-street-pendle-hill-nsw-2145-14048020,Agency,Leroy Magee Real Estate,"Leroy MaGee, Rental Department"
ApartmentUnitFlat,$400 PW,WENTWORTHVILLE,2145,"4/148 Station Street, Wentworthville",2.0,1.0,1,Fantastic Location!!,"Situated in one of the most prominent streets of Wentworthville is this well appointed  ground floor unit & only a short distance to Wentworthville Shopping Centre, Wentworthville Public School, Our Lady of Mount Carmel School  & within wa...",http://www.domain.com.au/4-148-station-street-wentworthville-nsw-2145-13967377,Agency,Laing+Simmons Wentworthville,Rental Enquiries
House,$400-$420 Per Week,GREYSTANES,2145,"67 Old Prospect Road, Greystanes",2.0,1.0,1,2 BEDROOM COTTAGE IN HANDY LOCATION!,"A must to inspect this neat and tidy home,  with timber floors in a super handy location, close to Ringrose Public, Shops, Bus stop and walkable distance to Wentworthville Station. Lovely North facing backyard fully fenced, great for the f...",http://www.domain.com.au/67-old-prospect-road-greystanes-nsw-2145-11208844,Agency,Century 21 Advantage,Leasing Team
ApartmentUnitFlat,$400 Per Week,WESTMEAD,2145,"42/16-24 Lydbrook Street, Westmead",2.0,2.0,1,"Short walk to bus stop, train station and hospital!  Newly renovated two bedroom unit!","This secure unit is located close to transport, hospital, train station and popular schools!  One weeks free rent for 12mth lease!   Features include:  *2 Bathrooms - 1 main and ensuite off the main bedroom; *Huge tiled combined loun...",http://www.domain.com.au/42-16-24-lydbrook-street-westmead-nsw-2145-13851594,Agency,Best Real Estate,Property Management
House,$400,MAYS HILL,2145,"2 PATRICIA STREET, Mays Hill",2.0,1.0,1,BRICK HOUSE - MAYS HILL,2 bedroom  Carpet through out  1 bathroom  gas cooking  1 LUG + street parking,http://www.domain.com.au/2-patricia-street-mays-hill-nsw-2145-12973895,Agency,Town and Country Real Estate Merrylands,Elie Kaltoum
ApartmentUnitFlat,$400 - $430,WESTMEAD,2145,"10/9-11 Caroline Street, Westmead",2.0,1.0,1,Modern unit in near new condition,"Showcasing a spacious two bedroom unit, with split-level living and spacious hallways this home caters to professionals and young families.  Featuring:  	Modern kitchen with stainless steel appliances 	Two spacious bedrooms 	Main bedr...",http://www.domain.com.au/10-9-11-caroline-street-westmead-nsw-2145-13791622,Agency,Starr Partners Parramatta,Errol Taufia
ApartmentUnitFlat,$400 per week,PENDLE HILL,2145,"12/90-92 Stapleton Street, Pendle Hill",2.0,1.0,1,Immaculate Two Bedroom Unit,This great top level unit features brand new carpet throughout. Two great size bedrooms with built-in and balcony to main bedroom. Very modern spacious gas kitchen with ample cupboard space. Light and airy main bathroom with separate secon...,http://www.domain.com.au/12-90-92-stapleton-street-pendle-hill-nsw-2145-13988492,Agency,Elders Real Estate Toongabbie,Rentals Team
ApartmentUnitFlat,$400,WESTMEAD,2145,"13/20 Reid Avenue, Westmead",2.0,1.0,1,OPEN FOR INSPECTION SATURDAY 21ST MARCH TBA,"Quietly positioned at the back of the block, this two-bedroom apartment boasts spacious and bright interiors. Within close proximity to local shops, public transport and popular schools, this modern apartment offers -   -       New blind...",http://www.domain.com.au/13-20-reid-avenue-westmead-nsw-2145-14036843,Agency,Ray White Gladesville & Ryde,Naome Chbib
ApartmentUnitFlat,$400 per week,WESTMEAD,2145,"3/14A Central Avenue, Westmead",2.0,1.0,1,PRIME LOCATION!,"Situated in a well-maintained security block with leafy outlook, this recently refreshed 2 bedroom home unit offers spacious interiors with a practical floor plan. Positioned nearby Parramatta Park (walk to Parramatta CBD) and within a sho...",http://www.domain.com.au/3-14a-central-avenue-westmead-nsw-2145-13979503,Agency,Ray White Parramatta/Oatlands/Northmead,Ray White Parramatta
House,$400,SOUTH WENTWORTHVILLE,2145,"44 STAPLETON STREET, South Wentworthville",3.0,1.0,1,MAKE A HOUSE INTO A HOME,"Features Include: - 3 Bedrooms - 1 Bathroom - 1 Secured Parking - Garage - Dining Area - Kitchen Gas Cooking - Polished Timber floorboards - Internal Laundry - Large Backyard - Close to school, shops and public transport  Conta...",http://www.domain.com.au/44-stapleton-street-south-wentworthville-nsw-2145-13482683,Agency,Town and Country Real Estate Merrylands,Elie Kaltoum
ApartmentUnitFlat,$400,WESTMEAD,2145,"2/2 Moss Place, Westmead",2.0,1.0,1,"Peaceful Location & Renovated, Available Now!",Recently renovated two bedroom light filled apartment located close to all amenities. Conveniently located within walking distance to local transport and a short drive to Parramatta CBD and Parramatta Westfield with beautiful Parramatta pa...,http://www.domain.com.au/2-2-moss-place-westmead-nsw-2145-13970361,Agency,LIVREALTY,Aron Korani
House,$400-$420 Per Week,WENTWORTHVILLE,2145,"10A Smith Street, Wentworthville",2.0,1.0,1,Near New Granny Flat!! Pet Allowed!!,Features:  + 2 bedrooms with built in robes + Modern kitchen with gas cooking and plenty of pantry + Open plan living and dining + Contemporary bathroom with separate shower  + Combined laundry  + Split air conditioning + Separate ...,http://www.domain.com.au/10a-smith-street-wentworthville-nsw-2145-11973726,Agency,Century 21 Advantage,Leasing Team
ApartmentUnitFlat,$400,WESTMEAD,2145,"2/8 Priddle Street, Westmead",2.0,1.0,1,Renovated 2 bedroom apartment within minutes walk to Westmead Public School - Two Apartments to Choose From,"**TO BOOK/ REGISTER FOR AN INSPECTION** - Please Click Email Agent  This beautifully updated ground floor 2 bedroom unit is located within minutes walk to local Westmead Public School, Station and Westmead & Children's Hospital.  This ...",http://www.domain.com.au/2-8-priddle-street-westmead-nsw-2145-14032016,Agency,Belle Property Parramatta,Property Management Department
House,$400,CONSTITUTION HILL,2145,"023 Hart Drive, Constitution Hill",2.0,1.0,1,"POLISHED FLOOR BOARDS, FRESHLY PAINTED, REMOTE CONTROL GARAGE, DISHWASHER","2 - 3 BEDROOM HOME, POLISHED FLOOR BOARDS, FRESHLY PAINTED, REMOTE CONTROL GARAGE, DISHWASHER, AVAILABLE NOW!  * 2 Bedrooms * Freshly Painted * Freshly Polished Floor Boards * Modern Kitchen * Modern Bathroom * New Blinds * Dishwas...",http://www.domain.com.au/023-hart-drive-constitution-hill-nsw-2145-13621344,Agency,One Agency Peter Vasiliou,Peter  Vasiliou
House,$400,CONSTITUTION HILL,2145,"0023 Hart Dr, Constitution Hill",2.0,1.0,1,"3 BEDROOM HOME, POLISHED FLOOR BOARDS, FRESHLY PAINTED, REMOTE CONTROL GARAGE","2 - 3 BEDROOM HOME, POLISHED FLOOR BOARDS, FRESHLY PAINTED, REMOTE CONTROL GARAGE, DISHWASHER, AVAILABLE NOW!  * 2 Bedrooms * Freshly Painted * Freshly Polished Floor Boards * Modern Kitchen * Modern Bathroom * New Blinds * Dishwas...",http://www.domain.com.au/0023-hart-dr-constitution-hill-nsw-2145-13631781,Agency,One Agency Peter Vasiliou,Peter  Vasiliou
ApartmentUnitFlat,$400 per week,WESTMEAD,2145,"35/53-59 Balmoral Road, Westmead",2.0,2.0,1,Large 2 bedroom unit,"Large 2 bedroom unit, offering   - Combined lounge and dining - Euro style kitchen, Stainless Steel appliances, dishwasher - Built-ins to bedrooms, ensuite to main  - Internal laundry with dryer  - A/C - Video security intercom - L...",http://www.domain.com.au/35-53-59-balmoral-road-westmead-nsw-2145-13902494,Agency,Better Buildings Realty,Better Buildings Realty
ApartmentUnitFlat,$400 - $430,WESTMEAD,2145,"6/16-24 Lydbrook Street, Westmead",2.0,1.0,1,Freshly Painted Apartment,"Neat 2 bedroom unit on the second floor of a secure complex close to Westmead Hospital, shops, schools, transport and amenities.    	Spacious combined lounge and dining room 	Generous sized bedrooms with built in wardrobe to main 	Con...",http://www.domain.com.au/6-16-24-lydbrook-street-westmead-nsw-2145-13790528,Agency,Starr Partners Parramatta,Errol Taufia
House,$400 Per Week,GREYSTANES,2145,"65 Old Prospect Road, Greystanes",3.0,2.0,2,3 Bedroom House!!,INCLUSIONS: -Timber floors throughout - Ensuite to main bedroom - Laundry with Storage room - Separate Dining Room - Lounge with ornamental fire place- not working - Good size kitchen with electric cooking - 2 Parking Spaces – Stora...,http://www.domain.com.au/65-old-prospect-road-greystanes-nsw-2145-13973732,Agency,Century 21 Advantage,Leasing Team
ApartmentUnitFlat,LEASED BY ESER PROPERTY,GREYSTANES,2145,"44A Kiama Street, Greystanes",2.0,1.0,,MODERN LIVING!,"This warming two bedroom granny-flat situated in the perfect location close to shops, schools and buses, offering security side access and fully fenced off, its perfect with features that include:    Two great size bedrooms with built-in...",http://www.domain.com.au/44a-kiama-street-greystanes-nsw-2145-13747647,Agency,ESER PROPERTY,"Rachelle Nohra, Sarah Kazzi"
ApartmentUnitFlat,$400,WESTMEAD,2145,"7/29 Queens Road, Westmead",2.0,2.0,1,Two Bedrooms Unit Available for Lease,"This unit is situated in handy position where close to all amenities. 5 minutes walking from University of Western Sydney, train station and shopping centre. Other features includes:  - Two bedroom with timber floor. - Two bathroom with...",http://www.domain.com.au/7-29-queens-road-westmead-nsw-2145-13769245,Agency,Hualei Properties,"Kenny (wenhan) Wu, Hualei Rental"
SemiDetached,$400 per week,PENDLE HILL,2145,"88A Bombala Street, Pendle Hill",2.0,1.0,1,RENT REDUCED !! Affordable Opportunity In Good Location!!,"Century 21 Eternity presents to you this spacious Brand new 2 bedroom granny flat on one of the most vital roads in Pendle Hill. Offering the perfect blend of convenience, luxury and affordability, this property is centrally located close ...",http://www.domain.com.au/88a-bombala-street-pendle-hill-nsw-2145-13970032,Agency,Century 21 Eternity,C21 Eternity Rentals Team
ApartmentUnitFlat,LEASED BY ESER PROPERTY,GREYSTANES,2145,"36A Damien Avenue, Greystanes",2.0,1.0,,SPACIOUS TWO BEDROOM GRANNY FLAT,This near new two bedroom granny flat is sure to impress...  Offering;  * Two bedrooms with built ins * Modern kitchen * Split system air conditioning  * Covered entertaining area  Contact ESER property for further details today!!,http://www.domain.com.au/36a-damien-avenue-greystanes-nsw-2145-13900755,Agency,ESER PROPERTY,"Sarah Kazzi, Rachelle Nohra"
ApartmentUnitFlat,$400 pw - LEASED,WENTWORTHVILLE,2145,"11/41-49 Lane Street, Wentworthville",2.0,1.0,1,A Place to call Home!,This perfectly located two bedroom apartment offers a leafy outlook from an oversized balcony perfect for entertaining. Guaranteed to appeal to you if you are seeking affordability and convenience. With such a central location to all ameni...,http://www.domain.com.au/11-41-49-lane-street-wentworthville-nsw-2145-13961015,Agency,Sky Realty,Tom Thanasias
ApartmentUnitFlat,$400-$410 Per Week,WESTMEAD,2145,"43/35-37 Darcy Road, Westmead",2.0,2.0,1,PERFECT LOCATION,"In the heart of Westmead, close to all amenities, is this spacious unit. Featuring: *	Two bedrooms with built ins, main with ensuite *	Modern kitchen with gas cooking, stainless steel appliances & dishwasher *	Large open plan lounge/di...",http://www.domain.com.au/43-35-37-darcy-road-westmead-nsw-2145-13903464,Agency,Century 21 Advantage,Leasing Team
House,$400,CONSTITUTION HILL,2145,"23 HART DRIVE, Constitution Hill",2.0,1.0,1,"2 - 3 BEDROOM HOME, POLISHED FLOORS, FRESHLY PAINTED, REMOTE GARAGE, DISHWASHER","2 - 3 BEDROOM HOME, POLISHED FLOOR BOARDS, FRESHLY PAINTED, REMOTE CONTROL GARAGE, DISHWASHER, AVAILABLE NOW!  * 2 Bedrooms * Freshly Painted * Freshly Polished Floor Boards * Modern Kitchen * Modern Bathroom * New Blinds * Dishwas...",http://www.domain.com.au/23-hart-drive-constitution-hill-nsw-2145-13467839,Agency,One Agency Peter Vasiliou,Peter  Vasiliou
ApartmentUnitFlat,$400 Per Week,WESTMEAD,2145,"95/178 Great Western Highway, Westmead",1.0,1.0,1,Near New 1 Bedroom Units in Convenient Location,"Near new boutique, secure complex located in a desirable location, close to all local amenities, public transport,  Parramatta CBD Major roads, Westfieldsand Westmead hospitals.  Features Include;  - Large bedroom with built ins  - Op...",http://www.domain.com.au/95-178-great-western-highway-westmead-nsw-2145-13112264,Agency,Laing+Simmons Parramatta,Cintia Elkhoury
ApartmentUnitFlat,$400-$420 Per Week,WENTWORTHVILLE,2145,"6/67 Lane Street, Wentworthville",2.0,1.0,1,2 Bedroom Unit Convenient To Everything!!,Get in quick to snatch up this great modern 2 bedroom unit located minutes walk from Wentworthville train station and 2 local shopping centres.  This is a private rear facing unit with lots of natural light and features large open plan l...,http://www.domain.com.au/6-67-lane-street-wentworthville-nsw-2145-14080760,Agency,Century 21 Advantage,Leasing Team
House,$400,GREYSTANES,2145,"14a Adler Parade, Greystanes",2.0,1.0,,UPDATED TWO BEDROOM HOME NOT TO BE MISSED!!,"We are excited to introduce this freshly painted home, located in none other than the popular Greystanes! This home is  minutes drive to the M4 Motorway and situated near local shops and schools. It is perfect for someone who is looking fo...",http://www.domain.com.au/14a-adler-parade-greystanes-nsw-2145-14068694,Agency,LJ Hooker Colyton/St Clair,"Philip Jajou, LJ Hooker Colyton | St Clair"
ApartmentUnitFlat,$400,WESTMEAD,2145,"6/18-20 Helen Street, Westmead",2.0,1.0,1,Ticks all the boxes! Gas cooking - Timber floor - Built ins,"Very well kept 2 bedroom unit, floating floor boards throughout, built- ins to both bedrooms, ceiling fans throughout, modern kitchen with gas cooking, internal laundry, single garage. Do not miss this inspection!",http://www.domain.com.au/6-18-20-helen-street-westmead-nsw-2145-14081004,Agency,Ray White Westmead,Reception Westmead
ApartmentUnitFlat,$400-$420 Per Week,WENTWORTHVILLE,2145,"6/37-39 Lane Street, Wentworthville",2.0,1.0,1,5 Minutes walk to Railway Station,"Well-presented unit in outstanding location so close to Wentworthville railway station, shopping centre, school and day care and easy access into Parramatta CBD and Westmead Hospitals.  Features include:  Two generous size bedrooms  ...",http://www.domain.com.au/6-37-39-lane-street-wentworthville-nsw-2145-13517750,Agency,Best Real Estate,Property Management
ApartmentUnitFlat,$395 Weekly,WESTMEAD,2145,"5/24 Hainsworth Street, Westmead",2.0,1.0,1,Spacious 2 Bedroom Apartment!,"This spacious2 bedroom apartment is conveniently located in the heart of Westmead.  Approx. 1km to Westmead train station, 650m to Westmead Hospital and 1.2km to Westmead Public School, this apartment has convenience written all over it....",http://www.domain.com.au/5-24-hainsworth-street-westmead-nsw-2145-14003009,Agency, Starr Partners Wentworthville,Starr Partners Wentworthville Rentals
House,$395 per week,WENTWORTHVILLE,2145,"Unit 1 & Unit 2/27 Page Street, Wentworthville",2.0,1.0,2,Two Bed Room House,"PROPERTY ID: 52642 (quote when calling)  Newly painted two bedroom house with new kitchen, very close to Westmead Hospital. Minutes away from public school, shopping centre, train station and all public transport.  High ceiling, double b...",http://www.domain.com.au/unit-1-unit-2-27-page-street-wentworthville-nsw-2145-12949512,Agency,RentBetter,RentBetter Team
ApartmentUnitFlat,$395 per week,WENTWORTHVILLE,2145,"3/37-39 Lane Street, Wentworthville",2.0,1.0,1,RENOVATED ENTRY-LEVEL APARTMENT CLOSE TO EVERYTHING,This two-bedroom apartment that has been recently renovated is well presented throughout for bright modern living. Open-plan living joins two good-sized bedrooms and the modern kitchen and main bathroom have both been updated. It is within...,http://www.domain.com.au/3-37-39-lane-street-wentworthville-nsw-2145-13934498,Agency,Ray White Parramatta/Oatlands/Northmead,Ray White Parramatta
