Property type,Price,Suburb,Postcode,Display address,Bedrooms,Bathrooms,Carspaces,Headline,Description,url,Advert type,Advert name,Advert contact
ApartmentUnitFlat,$395,PENDLE HILL,2145,"6/91-95 Stapleton Street, Pendle Hill",2.0,1.0,1,Walk to Train Station & Shops,Large modern apartment located just a hop and a skip to Pendle Hill Shopping Centre and Train Station.   Features Include: + 2 Bedroom with Built-Ins + Fantastic open plan Living & Dining area + Huge Balcony + Large Open Kitchen with...,http://www.domain.com.au/6-91-95-stapleton-street-pendle-hill-nsw-2145-14079272,Agency,Ray Wehbe Real Estate,Ray Wehbe
ApartmentUnitFlat,$390 - $410 Per Week,WENTWORTHVILLE,2145,"2/37-39 Lane Street, Wentworthville",2.0,1.0,1,Hop-Skip & Jump to Station!,"Conveniently located modern unit so close to Wentworthville railway station, shopping centres, schools and quick access into Parramatta CBD.  Features include- Two bedrooms with built in wardrobe to the master bedroom.  Combined lounge a...",http://www.domain.com.au/2-37-39-lane-street-wentworthville-nsw-2145-14061113,Agency,Best Real Estate,Property Management
House,$390 Per Week,WENTWORTHVILLE,2145,"11 Hill Street, Wentworthville",3.0,1.0,,Air Conditioning & Fully Fenced Yard,"Located in the heart of Wentworthville within a stroll from Station, shops, schools and parks is this well maintained 3 bedroom brick home.  Large separate lounge room with air conditioning.  Separate dining room.  Gas cooking and he...",http://www.domain.com.au/11-hill-street-wentworthville-nsw-2145-14050504,Agency,Best Real Estate,Property Management
ApartmentUnitFlat,$390 PW,PENDLE HILL,2145,"7/90-92 Stapleton Street, Pendle Hill",2.0,1.0,1,2 Bedroom Unit Close To Station!,"Conveniently located and only a short 6 minute walk to Pendle Hill Train Station (according to Google Maps) is this spacious two bedroom unit.   Featuring a combined living and dining area, well-appointed kitchen with gas cooking, two go...",http://www.domain.com.au/7-90-92-stapleton-street-pendle-hill-nsw-2145-13934569,Agency,Laing+Simmons Wentworthville,Rental Enquiries
ApartmentUnitFlat,Deposit Taken!!,WENTWORTHVILLE,2145,"64/300-308 Great Western Highway, Wentworthville",1.0,1.0,1,Deposit Taken!! Brand New apartment ready to move in NOW,"Deposit Taken!!  Located just 25km from the Sydney CBD, this 1 bed brand new appartment is also in close proximity to Parramatta (3.5km or a 6 minute drive), Sydney's second CBD. Wentworthville offers 308 residents a bustling local commun...",http://www.domain.com.au/64-300-308-great-western-highway-wentworthville-nsw-2145-12451519,Agency,The Property Investors Alliance,Leasing Team
ApartmentUnitFlat,$390,WESTMEAD,2145,"12/157 Hawkesbury Road, Westmead",2.0,1.0,1,Spacious 2 Bedroom Unit With Lock Up Garage,"Recently PAINTED 2 bedroom unit in a small block of 12. The unit features combined living and dining area, kitchen with electric appliances, timber floorboards, Builtins to both bedrooms, internal laundry, also includes a lockup garage.  ...",http://www.domain.com.au/12-157-hawkesbury-road-westmead-nsw-2145-14053116,Agency,Ray White Westmead,"George Jahshan, Reception Westmead"
Villa,$390,SOUTH WENTWORTHVILLE,2145,"10/55 Chelmsford Road, South Wentworthville",2.0,1.0,1,Large Two Bedroom Villa,"Close to school, shops, T way & transport.   Features include:   . 2 large bedrooms both with built-ins . Huge open plan lounge & dining room area . Timber kitchen with electric cooking . Modern bathroom . Tiled throughout, Carpet ...",http://www.domain.com.au/10-55-chelmsford-road-south-wentworthville-nsw-2145-14068084,Agency,QWest Property Group,"Josh Golfis, Jim Malamas"
ApartmentUnitFlat,$390,WESTMEAD,2145,"4/18-20 Jessie Street, Westmead",2.0,1.0,1,FRESHLY PAINTED TWO BEDROOM UNIT IN PRIMCE LOCATION,"Situated in a well-presented and secure building, we have this lovely two bedroom unit on the first floor.   Feature include: •	Freshly Painted Throughout •	Spacious lounge & dining •	Modern kitchen with electric cooking •	Main ...",http://www.domain.com.au/4-18-20-jessie-street-westmead-nsw-2145-13930475,Agency,Richardson & Wrench Parramatta,Rebecca Bell
ApartmentUnitFlat,$390,WESTMEAD,2145,"6/21 Caroline Street, Westmead",2.0,1.0,2,SPACIOUS 2 BEDROOM APARTMENT WITH TANDEM GARAGE,"**CLICK EMAIL AGENT TO REGISTER FOR AN INSPECTION**  This spacious renovated 2 bedroom apartment in the heart of Westmead, and only 5 minutes walk to Westmead Station, Westmead/Children's Hospital, Schools and Shops, this property featur...",http://www.domain.com.au/6-21-caroline-street-westmead-nsw-2145-14010523,Agency,Belle Property Parramatta,Property Management Department
ApartmentUnitFlat,$390,WESTMEAD,2145,"9/3 Queens Road, Westmead",2.0,1.0,1,Close to Westmead public School,"Come and inspect this well presented two bedroom unit situated in great location. This property features two great sized bedrooms with built in to main, large living lounge room with access to balcony, spacious sized kitchen, internal lau...",http://www.domain.com.au/9-3-queens-road-westmead-nsw-2145-13785941,Agency,Ray White Westmead,George Jahshan
ApartmentUnitFlat,$390,PEMULWUY,2145,"44/13-19 PASTORAL CIRCUIT, Pemulwuy",1.0,1.0,1,Well Presented Quality Living!,If you are looking for quality and a sleek contemporary finish this lovely one bedroom unit is ideally situated on the top level. This well presented unit offers;    * Generous combined living and dining room adjoining on to north facing...,http://www.domain.com.au/44-13-19-pastoral-circuit-pemulwuy-nsw-2145-13772679,Agency,Starr Partners Merrylands,RENTAL 97606677
ApartmentUnitFlat,$390 Per Week,WESTMEAD,2145,"6/209 Hawkesbury Road, Westmead",2.0,1.0,1,Large Freshly Painted Two Bedroom Unit Opposite Hospital,"This large two bedroom unit conveniently located, features the following:  - Positioned on top floor in a small complex - Security building with intercom system - Spacious lounge and dining with airconditioner  - Nice kitchen with ele...",http://www.domain.com.au/6-209-hawkesbury-road-westmead-nsw-2145-12100625,Agency,Laing+Simmons Parramatta,Jessica Icho
ApartmentUnitFlat,$390.00,WESTMEAD,2145,"3/43a Grand Avenue, Westmead",2.0,1.0,,CENTRALLY LOCATED AND COMPLETELY RENOVATED,Available 29th March 2020 = Located on the ground floor of this immaculate and quiet residential block you will find this beautifully updated apartment offering modern living throughout at an ultra-affordable price. Be the first to inspect...,http://www.domain.com.au/3-43a-grand-avenue-westmead-nsw-2145-9909829,Agency,True Property,
ApartmentUnitFlat,$390,WESTMEAD,2145,"4/19 Helen Street, Westmead",2.0,1.0,1,Freshly Painted Spacious unit,"Two-bedroom unit with built-in wardrobe in the main bedroom, internal laundry, combined lounge and dining, single garage, 2 balconies, Intercom, short walk to children's Westmead Hospital, walking distance to station, shops and schools. ...",http://www.domain.com.au/4-19-helen-street-westmead-nsw-2145-14061257,Agency,Ray White Westmead,Reception Westmead
ApartmentUnitFlat,$385,WESTMEAD,2145,"4/14-16 Jessie Street, Westmead",2.0,1.0,1,A MUST TO INSPECT!,An opportunity for you to secure a centrally located rental unit that is conveniently located close to all amenities in Westmead. This well presented 2 bedroom unit is situated on the top floor with north aspect  Features:  - Separate li...,http://www.domain.com.au/4-14-16-jessie-street-westmead-nsw-2145-13785943,Agency,Ray White Westmead,George Jahshan
Villa,$400,PENDLE HILL,2145,"7 Rhonda St, Pendle Hill",2.0,1.0,2,TOP LOCATION!!,"Global Real wentworthville are offer you Two bedrooms master with ensuite,built ins. open plan living and dining, Gas kitchen & hot water system. Fully secure front and rear yard. Open plan living and dining, air conditioning and Lock-up g...",http://www.domain.com.au/7-rhonda-st-pendle-hill-nsw-2145-13898960,Agency,Global Real Estate Pty Ltd,"Dhan Rai, Global Real Estate Office"
House,$400,WENTWORTHVILLE,2145,"8 Mayfield Street, Wentworthville",3.0,1.0,2,Quiet Street - Good Location,"Features Include:  - Renovated 3 bedroom home - Separate sunroom, can be used a rumpus or study or media - Gas Kitchen with a new rangehood - Separate Dining area - Floor board throughout for less maintenance - Huge backyard who enj...",http://www.domain.com.au/8-mayfield-street-wentworthville-nsw-2145-12171127,Agency,LEGEND REAL ESTATE,"Hari Sallakonda, Durai R"
ApartmentUnitFlat,$380 per week,WENTWORTHVILLE,2145,"10/12 Emert Street, Wentworthville",2.0,1.0,1,Up for a SWIM ???,"Enjoy a HOT balmy day overlooking Wentworthville Public Swimming Pool, this unit offers convenient living with a view....  Features: - 2 bedrooms both with mirrored built-ins - Timber flooring in the living and bedrooms - Separate kit...",http://www.domain.com.au/10-12-emert-street-wentworthville-nsw-2145-14048021,Agency,Leroy Magee Real Estate,"Leroy MaGee, Rental Department"
ApartmentUnitFlat,$380.00 per week,WESTMEAD,2145,"12/15-19 Hassall Street, Westmead",2.0,1.0,1,UNIT IN PRIME LOCATION,"- 2 bedrooms, main with built-in robe - Bathroom with bath tub and toilet - Kitchen with gas cooking & dishwasher - Open plan lounge & dining with split system air conditioning  - Laundry with dryer and balcony  - Great location to pu...",http://www.domain.com.au/12-15-19-hassall-street-westmead-nsw-2145-13811572,Agency,Homeway First National,Property Management
ApartmentUnitFlat,$380,WESTMEAD,2145,"10/2 Moss Place, Westmead",2.0,1.0,1,"Peaceful Location, Available Now!",Recently renovated two bedroom light filled apartment located close to all amenities. Conveniently located within walking distance to local transport and a short drive to Parramatta CBD and Parramatta Westfield with beautiful Parramatta pa...,http://www.domain.com.au/10-2-moss-place-westmead-nsw-2145-13958247,Agency,LIVREALTY,Aron Korani
Villa,$380 Per Week,WENTWORTHVILLE,2145,"8/26-28 Jersey Road, Wentworthville",2.0,1.0,1,2 Bedroom Villa!!,"This property offers:  * 2 bedrooms * Combined lounge & dining * Tiled throughout * Modern kitchen with gas cooking * Reverse cycle air conditioning, modern kitchen with gas cooking * Down lights * Modern bathroom * Built ins x2 ...",http://www.domain.com.au/8-26-28-jersey-road-wentworthville-nsw-2145-9930112,Agency,Century 21 Advantage,Leasing Team
ApartmentUnitFlat,$380,WESTMEAD,2145,"26/74 Hawkesbury Road, Westmead",2.0,1.0,,A MUST TO INSPECT!,"Spacious 2 bedroom unit  located above the Oakes Centre Shopping village. Features renovated kitchen with gas cooking, large lounge and dinning area, timber floors, huge sunny balcony, a short walk to Westmead Public School, and Westmead ...",http://www.domain.com.au/26-74-hawkesbury-road-westmead-nsw-2145-13768331,Agency,Ray White Westmead,"George Jahshan, Reception Westmead"
ApartmentUnitFlat,From $380 per week,PENDLE HILL,2145,"2 Pendle Way, Pendle Hill",1.0,1.0,1,Brand New Luxury One Bedroom Apartment,Brand new one bedroom unit with combined lounge and dining area leading to large private outdoor area Features include:  - Modern Kitchen with quality stainless steel gas appliances - Very large private outdoor entertainment - Both Be...,http://www.domain.com.au/2-pendle-way-pendle-hill-nsw-2145-13767413,Agency,Base Realty Pty Ltd,Base Management
ApartmentUnitFlat,$400-$430 per week,WENTWORTHVILLE,2145,"9/217 Dunmore Street, Wentworthville",2.0,1.0,1,Easy access to Station & shops,"Well priced modern two bedroom unit in excellent location easy walking distance to station, shopping centre and quick access into Parramatta & Westmead.  Neat and tidy presentation and freshly painted throughout.   Features two bedroom...",http://www.domain.com.au/9-217-dunmore-street-wentworthville-nsw-2145-13999257,Agency,Best Real Estate,Property Management
ApartmentUnitFlat,$380-$400 per week!!,PENDLE HILL,2145,"2/116 Pendle Way, Pendle Hill",2.0,1.0,,Ultra convenient Location!!!,"Recently updated two bedroom apartment in the heart of Pendle Hill. Located within minutes walk to Pendle Hill Train Station, local shops, parks and reputed local schools.  Features Includes: + Open plan living and dining area + Two be...",http://www.domain.com.au/2-116-pendle-way-pendle-hill-nsw-2145-14069611,Agency,First National Real Estate Westsyde,Rentals Team
ApartmentUnitFlat,$380,WESTMEAD,2145,"9/16 Central Avenue, Westmead",2.0,1.0,1,"Undisturbed views!! Walk to Shops, Train Station & Hospital",Neat & tidy Apartment in Westmead. Features include:  - 2 Large bedroom - Bright Spacious Lounge room & dining area - Large closed kitchen - Internal Laundry - Built Ins - Secured car park. - Located on top floor. - Electric Gas ...,http://www.domain.com.au/9-16-central-avenue-westmead-nsw-2145-14079485,Agency,Ray Wehbe Real Estate,Ray Wehbe
ApartmentUnitFlat,$380,WESTMEAD,2145,"09/18-20 Helen Street, Westmead",2.0,1.0,1,"GAS COOKING, 2 BEDROOMS, 1 BUILT IN, 1ST FLOOR, LOCK UP GARAGE, AVAILABLE NOW!","GAS COOKING, 2 BEDROOMS, 1 BUILT IN, BALCONY, 1ST FLOOR, LOCK UP GARAGE, TOP LOCATION, INTERCOM BLOCK, VACANT AVAILABLE NOW!  * 2 BEDROOMS * 1 BUILT IN WARDROBES IN MASTER BEDROOM * GAS COOKING * UPDATED KITCHEN * BALCONY * FIRST FL...",http://www.domain.com.au/09-18-20-helen-street-westmead-nsw-2145-13962828,Agency,One Agency Peter Vasiliou,Peter  Vasiliou
ApartmentUnitFlat,$380,PENDLE HILL,2145,"11/71 Stapleton Street, Pendle Hill",2.0,1.0,1,Perfect location with Near New Carpet,"Located only a short walk to local schools, shops and public transport, this spacious two bedroom units:   Near new carpet throughout Two good sized bedroom with the master featuring built-in wardrobe Large open plan living and dining ...",http://www.domain.com.au/11-71-stapleton-street-pendle-hill-nsw-2145-13969411,Agency,LJ Hooker Toongabbie,Toongabbie Rentals
ApartmentUnitFlat,$380,WESTMEAD,2145,"11/4-6 Park Avenue, Westmead",2.0,1.0,1,INSPECT TODAY - THIS PROPERTY WON'T LAST,"This bright and spacious two-bedroom unit is only a stroll away from Westmead train station, Parramatta CBD, park and hospital. This beautifully presented home has been well maintained over the years featuring a sun-filled balcony overlook...",http://www.domain.com.au/11-4-6-park-avenue-westmead-nsw-2145-14068032,Agency,Raine & Horne Parramatta,Brianna Mitchell
ApartmentUnitFlat,$380,WESTMEAD,2145,"3/2 Alfred Street, Westmead",2.0,1.0,1,Brand new laminate Timber floors,"Spacious 2 bedroom unit with builtin wardrobes to both bedrooms, a modern style kitchen granite benchtop, and a combined lounge and dining area, also features a lock up garage and a security bock with internal laundry, close to hospital an...",http://www.domain.com.au/3-2-alfred-street-westmead-nsw-2145-14080149,Agency,Ray White Westmead,Reception Westmead
Villa,$380 PW,WESTMEAD,2145,"22 Austral Avenue, Westmead",2.0,1.0,1,SHORT TERM LEASE  Water Included,"We welcome you to inspect this 2 bedroom villa with laminate flooring throughout, kitchen eating area with natural gas cooking and water usage included. Property is to be knocked down in time, so short lease only. No pets. To inspect this ...",http://www.domain.com.au/22-austral-avenue-westmead-nsw-2145-14066725,Agency,Laing+Simmons Wentworthville,Rental Enquiries
ApartmentUnitFlat,$380 - $400 Per Week,WENTWORTHVILLE,2145,"7/25-27 Lane Street, Wentworthville",3.0,1.0,1,Best Value!  3 Bedrooms!,"Three bedroom unit.  This unit is in fabulous location, so close to Woolworths shopping center, local shopping, schools, day care and easy stroll to railway station. Open plan living area opening onto sunny balcony. Good size kitchen and ...",http://www.domain.com.au/7-25-27-lane-street-wentworthville-nsw-2145-14073070,Agency,Best Real Estate,Property Management
ApartmentUnitFlat,Contact agent !!,PENDLE HILL,2145,"11/71-73 Stapleton Street, Pendle Hill",2.0,1.0,1,Perfect Location & Close to everything !!,"This Immaculately presented two-bedroom unit is an outstanding opportunity for family. Located within minutes walk to Pendle Hill Train Station, Local Shops, Woolworth and Parks this exceptional unit is a must to inspect.  Property featu...",http://www.domain.com.au/11-71-73-stapleton-street-pendle-hill-nsw-2145-14076758,Agency,First National Real Estate Westsyde,Rentals Team
House,$380- $400 per week!!,WENTWORTHVILLE,2145,"119 Fullagar Road, Wentworthville",3.0,1.0,1,Spacious House in a prime location!!,"This large 3 bedroom family home is sure to impress anyone who is looking for extra space, close to school, shopping centre, train station, library, medical centre and many more amenities.  Property features:  - Formal lounge with vera...",http://www.domain.com.au/119-fullagar-road-wentworthville-nsw-2145-14069462,Agency,First National Real Estate Westsyde,Rentals Team
ApartmentUnitFlat,$380,WESTMEAD,2145,"009/18 - 20 Helen Street, Westmead",2.0,1.0,1,"GAS COOKING, 1 BUILT IN, BALCONY, 1ST FLOOR, GARAGE, INTERCOM, AVAILABLE NOW","GAS COOKING, 2 BEDROOMS, 1 BUILT IN, BALCONY, 1ST FLOOR, LOCK UP GARAGE, TOP LOCATION, INTERCOM BLOCK, VACANT AVAILABLE NOW!  * 2 BEDROOMS * 1 BUILT IN WARDROBES IN MASTER BEDROOM * GAS COOKING * UPDATED KITCHEN * BALCONY * FIRST FL...",http://www.domain.com.au/009-18-20-helen-street-westmead-nsw-2145-14010973,Agency,One Agency Peter Vasiliou,Peter  Vasiliou
ApartmentUnitFlat,$380,WESTMEAD,2145,"9/18 Hainsworth Street, Westmead",2.0,1.0,1,Newly Renovated Split Level Unit,"This newly renovated split level 2 bedroom unit, is a 5 minute walk to Westmead Hospital and the Children Hospital. Easy access to M4 for commuting and the Cumberland Highway.  Features include: - Oversized main bedrrom with large built...",http://www.domain.com.au/9-18-hainsworth-street-westmead-nsw-2145-14035683,Agency,Raine & Horne Parramatta,Brianna Mitchell
ApartmentUnitFlat,Leased,PENDLE HILL,2145,"13/90-92 Stapleton Street, Pendle Hill",2.0,1.0,1,Conveniently located,"- Security apartment located next to a child-friendly playground - Close proximity to all the essential amenities - Tiled flooring throughout - Two double size bedrooms, both with built-ins - Combine living areas flowing out to a large...",http://www.domain.com.au/13-90-92-stapleton-street-pendle-hill-nsw-2145-13810567,Agency,jt property,John Tan
ApartmentUnitFlat,$375 PW,WENTWORTHVILLE,2145,"18/28 Lane Street, Wentworthville",2.0,1.0,1,Split System Air Con & Built-In Robes,"Open plan living with tranquil tree lined outlook from the rear balcony to help escape from everyday suburbia. Combined lounge and dining areas with split system air conditioner, built-in robes to both bedrooms, internal laundry and single...",http://www.domain.com.au/18-28-lane-street-wentworthville-nsw-2145-13938054,Agency,Laing+Simmons Wentworthville,Rental Enquiries
ApartmentUnitFlat,$375.00 weekly,PENDLE HILL,2145,"12/105 STAPLETON STREET, Pendle Hill",2.0,1.0,1,"WALK TO SHOPS, TRAIN!",Situated in a great location within walking distance to shops and trains this bright 2 bedroom unit features;  * Spacious combined lounge and dining * Modern kitchen  * Built in wardrobes to both bedrooms and balcony access * Split sys...,http://www.domain.com.au/12-105-stapleton-street-pendle-hill-nsw-2145-11020568,Agency,Starr Partners Merrylands,RENTAL DEPARTMENT 02 97606677
ApartmentUnitFlat,$390-$400 Per Week,WENTWORTHVILLE,2145,"23/107-109 Lane Street, Wentworthville",2.0,1.0,1,Directly Opposite Woolworth's!,If location matters then make sure you come and inspect this well presented modern unit in outstanding location.  Easy walk to Wentworthville railway station local shopping centre with Woolworth's centre directly across the road and Aldi...,http://www.domain.com.au/23-107-109-lane-street-wentworthville-nsw-2145-14065262,Agency,Best Real Estate,Property Management
House,$370 wk,GREYSTANES,2145,"34a MUNRO STREET, Greystanes",2.0,1.0,,NEAR NEW GRANNY FLAT,Only 12 months old this Granny Flat is well built.  Featuring; * 2 good size rooms with built-ins  * Tiled throughout * Ultra modern kitchen with Gas cooking * Dishwasher * Split system air-conditioning * Separate bath tub to shower...,http://www.domain.com.au/34a-munro-street-greystanes-nsw-2145-14004115,Agency,LJ Hooker Greystanes,"Steven Piljek, Tara Jade"
ApartmentUnitFlat,Contact Agent,WENTWORTHVILLE,2145,"59-61 Essington Street, Wentworthville",1.0,1.0,1,Brand new apartment with ducted air conditioning,"This newly-built complex offers a well-designed 1 bedroom ground floor apartment with plenty of space and natural light.  Located in a sought-after area within walking distance to major supermarkets and retailers including Woolworths, Aldi...",http://www.domain.com.au/59-61-essington-street-wentworthville-nsw-2145-14016075,Agency,Merrylands First National,Rental Department
ApartmentUnitFlat,$370,PENDLE HILL,2145,"4/62 Stapleton Street, Pendle Hill",2.0,1.0,1,1 Weeks Free Rent!,"Being only a six minute walk to Pendle Hill train station, encapsulated by specialty shops, and major markets, walking distance to bus stops, and a short drive to Pendle Hill Public School & Pendle Hill High, this quiet two bedroom, top fl...",http://www.domain.com.au/4-62-stapleton-street-pendle-hill-nsw-2145-14011109,Agency,The Avenue Real Estate Agency,Sarah Costello
ApartmentUnitFlat,$370 per week,WESTMEAD,2145,"11/19 Queens Road, Westmead",2.0,1.0,1,2 Bedroom unit,"This unit is located in a quiet peaceful street within 2 mins walking distance to Westmead train station. Featuring: * timber floor, * a nice and bright kitchen,  * good size lounge and dinning area with access to balcony,  * locked-u...",http://www.domain.com.au/11-19-queens-road-westmead-nsw-2145-13799621,Agency,C & R Realty International,"Elsie Fung, Macy Tan"
House,$370 PW application received,WENTWORTHVILLE,2145,"12 Layton Street, Wentworthville",2.0,1.0,,*** Deposit Taken ***,"This two bedroom house is located in one of Wentworthvilles quietest & sought after streets short distance to local bus stop, Pendle Hill & Wentworthville train station, schools, childcare and shopping centre  features included 2 spacious ...",http://www.domain.com.au/12-layton-street-wentworthville-nsw-2145-14014906,Agency,Laing+Simmons Wentworthville,Rental Enquiries
Villa,$370 PW,SOUTH WENTWORTHVILLE,2145,"18A2 Hampden Road, South Wentworthville",2.0,1.0,1,Lovely Two Bedroom Villa For A Great Price!!,"We invite you to inspect this modern and bright two bedroom villa with features such as, Large combined lounge and dining area that is tiled throughout, modern kitchen with electric cooking and ample cupboard space, modern and spacious bat...",http://www.domain.com.au/18a2-hampden-road-south-wentworthville-nsw-2145-13963465,Agency,Laing+Simmons Wentworthville,Rental Enquiries
ApartmentUnitFlat,$370-$390 per week,GIRRAWEEN,2145,"593B Great Western Highway, Girraween",2.0,1.0,,Gas & Water Included!!!,"You'll certainly love living here in this outstanding location- just a walk to the railway station and local shopping centre it is definitely value for your dollar.  Features include a completely self contained flat, with an eat in kitch...",http://www.domain.com.au/593b-great-western-highway-girraween-nsw-2145-13536022,Agency,Best Real Estate,Property Management
ApartmentUnitFlat,$370-$390 Per Week,WENTWORTHVILLE,2145,"8/22 Lane Street, Wentworthville",2.0,1.0,1,"Hop, Skip & Jump to Railway Station!","Fabulous location in this well presented unit within  an easy stroll to Wentworthville railway station, shopping centre, schools, Woolworth shopping at the end of the street and easy access into Parramatta & Westmead CBD.  This unit incl...",http://www.domain.com.au/8-22-lane-street-wentworthville-nsw-2145-13877765,Agency,Best Real Estate,Property Management
ApartmentUnitFlat,$365 per week,PENDLE HILL,2145,"7/221-223 Dunmore Street, Pendle Hill",2.0,1.0,1,Updated 2 bedroom apartment with newly paint and carpet with AC to be installed,"**CLICK EMAIL AGENT TO REGISTER FOR AN INSPECTION**   Freshly painted 2 bedroom apartment located in the heart of Wentworthville, schools, shops and transport right at your door.  Features Include: * Open plan living area with new car...",http://www.domain.com.au/7-221-223-dunmore-street-pendle-hill-nsw-2145-13913942,Agency,Belle Property Parramatta,Property Management Department
ApartmentUnitFlat,$364,WESTMEAD,2145,"206/148 Great Western High Way, Westmead",2.0,1.0,1,NEAR NEW 2 BEDROOMS,"Built to a high standard, this modern apartment is located in the heart of Westmead, ideally located only minutes from Parramatta CBD/Station, Westmead Hospital & Westmead Station.  The stylish apartments offer:  2 bedroom Laminate ki...",http://www.domain.com.au/206-148-great-western-high-way-westmead-nsw-2145-13955244,Agency,SGCH,
